,#,Name,Type,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
438,354,Banette  Mega Banette,Ghost,555,64,165,75,93,83,75
439,355,Duskull,Ghost,295,20,40,90,30,90,25
440,356,Dusclops,Ghost,455,40,70,130,60,130,25
441,357,Tropius,Grass  Flying,460,99,68,83,72,87,51
442,358,Chimecho,Psychic,455,75,50,80,95,90,65
443,359,Absol,Dark,465,65,130,60,75,60,75
444,359,Absol  Mega Absol,Dark,565,65,150,60,115,60,115
445,360,Wynaut,Psychic,260,95,23,48,23,48,23
446,361,Snorunt,Ice,300,50,50,50,50,50,50
447,362,Glalie,Ice,480,80,80,80,80,80,80
448,362,Glalie  Mega Glalie,Ice,580,80,120,80,120,80,100
449,363,Spheal,Ice  Water,290,70,40,50,55,50,25
450,364,Sealeo,Ice  Water,410,90,60,70,75,70,45
451,365,Walrein,Ice  Water,530,110,80,90,95,90,65
452,366,Clamperl,Water,345,35,64,85,74,55,32
453,367,Huntail,Water,485,55,104,105,94,75,52
454,368,Gorebyss,Water,485,55,84,105,114,75,52
455,369,Relicanth,Water  Rock,485,100,90,130,45,65,55
456,370,Luvdisc,Water,330,43,30,55,40,65,97
457,371,Bagon,Dragon,300,45,75,60,40,30,50
458,372,Shelgon,Dragon,420,65,95,100,60,50,50
459,373,Salamence,Dragon  Flying,600,95,135,80,110,80,100
460,373,Salamence  Mega Salamence,Dragon  Flying,700,95,145,130,120,90,120
461,374,Beldum,Steel  Psychic,300,40,55,80,35,60,30
462,375,Metang,Steel  Psychic,420,60,75,100,55,80,50
463,376,Metagross,Steel  Psychic,600,80,135,130,95,90,70
464,376,Metagross  Mega Metagross,Steel  Psychic,700,80,145,150,105,110,110
465,377,Regirock,Rock,580,80,100,200,50,100,50
466,378,Regice,Ice,580,80,50,100,100,200,50
467,379,Registeel,Steel,580,80,75,150,75,150,50
468,380,Latias,Dragon  Psychic,600,80,80,90,110,130,110
469,380,Latias  Mega Latias,Dragon  Psychic,700,80,100,120,140,150,110
470,381,Latios,Dragon  Psychic,600,80,90,80,130,110,110
471,381,Latios  Mega Latios,Dragon  Psychic,700,80,130,100,160,120,110
472,382,Kyogre,Water,670,100,100,90,150,140,90
473,382,Kyogre  Primal Kyogre,Water,770,100,150,90,180,160,90
474,383,Groudon,Ground,670,100,150,140,100,90,90
475,383,Groudon  Primal Groudon,Ground  Fire,770,100,180,160,150,90,90
476,384,Rayquaza,Dragon  Flying,680,105,150,90,150,90,95
477,384,Rayquaza  Mega Rayquaza,Dragon  Flying,780,105,180,100,180,100,115
478,385,Jirachi,Steel  Psychic,600,100,100,100,100,100,100
479,386,Deoxys  Normal Forme,Psychic,600,50,150,50,150,50,150
480,386,Deoxys  Attack Forme,Psychic,600,50,180,20,180,20,150
481,386,Deoxys  Defense Forme,Psychic,600,50,70,160,70,160,90
482,386,Deoxys  Speed Forme,Psychic,600,50,95,90,95,90,180
483,387,Turtwig,Grass,318,55,68,64,45,55,31
484,388,Grotle,Grass,405,75,89,85,55,65,36
485,389,Torterra,Grass  Ground,525,95,109,105,75,85,56
486,390,Chimchar,Fire,309,44,58,44,58,44,61
487,391,Monferno,Fire  Fighting,405,64,78,52,78,52,81
488,392,Infernape,Fire  Fighting,534,76,104,71,104,71,108
489,393,Piplup,Water,314,53,51,53,61,56,40
490,394,Prinplup,Water,405,64,66,68,81,76,50
491,395,Empoleon,Water  Steel,530,84,86,88,111,101,60
492,396,Starly,Normal  Flying,245,40,55,30,30,30,60
493,397,Staravia,Normal  Flying,340,55,75,50,40,40,80
494,398,Staraptor,Normal  Flying,485,85,120,70,50,60,100
495,399,Bidoof,Normal,250,59,45,40,35,40,31
496,400,Bibarel,Normal  Water,410,79,85,60,55,60,71
497,401,Kricketot,Bug,194,37,25,41,25,41,25
498,402,Kricketune,Bug,384,77,85,51,55,51,65
499,403,Shinx,Electric,263,45,65,34,40,34,45
500,404,Luxio,Electric,363,60,85,49,60,49,60
501,405,Luxray,Electric,523,80,120,79,95,79,70
502,406,Budew,Grass  Poison,280,40,30,35,50,70,55
503,407,Roserade,Grass  Poison,515,60,70,65,125,105,90
504,408,Cranidos,Rock,350,67,125,40,30,30,58
505,409,Rampardos,Rock,495,97,165,60,65,50,58
506,410,Shieldon,Rock  Steel,350,30,42,118,42,88,30
507,411,Bastiodon,Rock  Steel,495,60,52,168,47,138,30
508,412,Burmy  Plant Cloak,Bug,224,40,29,45,29,45,36
509,412,Burmy  Sandy Cloak,Bug,224,40,29,45,29,45,36
510,412,Burmy  Trash Cloak,Bug,224,40,29,45,29,45,36
511,413,Wormadam  Plant Cloak,Bug  Grass,424,60,59,85,79,105,36
512,413,Wormadam  Sandy Cloak,Bug  Ground,424,60,79,105,59,85,36
513,413,Wormadam  Trash Cloak,Bug  Steel,424,60,69,95,69,95,36
514,414,Mothim,Bug  Flying,424,70,94,50,94,50,66
515,415,Combee,Bug  Flying,244,30,30,42,30,42,70
516,416,Vespiquen,Bug  Flying,474,70,80,102,80,102,40
517,417,Pachirisu,Electric,405,60,45,70,45,90,95
518,418,Buizel,Water,330,55,65,35,60,30,85
519,419,Floatzel,Water,495,85,105,55,85,50,115
520,420,Cherubi,Grass,275,45,35,45,62,53,35
521,421,Cherrim,Grass,450,70,60,70,87,78,85
522,422,Shellos,Water,325,76,48,48,57,62,34
523,423,Gastrodon,Water  Ground,475,111,83,68,92,82,39
524,424,Ambipom,Normal,482,75,100,66,60,66,115
525,425,Drifloon,Ghost  Flying,348,90,50,34,60,44,70
526,426,Drifblim,Ghost  Flying,498,150,80,44,90,54,80
527,427,Buneary,Normal,350,55,66,44,44,56,85
528,428,Lopunny,Normal,480,65,76,84,54,96,105
529,428,Lopunny  Mega Lopunny,Normal  Fighting,580,65,136,94,54,96,135
530,429,Mismagius,Ghost,495,60,60,60,105,105,105
531,430,Honchkrow,Dark  Flying,505,100,125,52,105,52,71
532,431,Glameow,Normal,310,49,55,42,42,37,85
533,432,Purugly,Normal,452,71,82,64,64,59,112
534,433,Chingling,Psychic,285,45,30,50,65,50,45
535,434,Stunky,Poison  Dark,329,63,63,47,41,41,74
536,435,Skuntank,Poison  Dark,479,103,93,67,71,61,84
537,436,Bronzor,Steel  Psychic,300,57,24,86,24,86,23
538,437,Bronzong,Steel  Psychic,500,67,89,116,79,116,33
539,438,Bonsly,Rock,290,50,80,95,10,45,10
540,439,Mime Jr.,Psychic  Fairy,310,20,25,45,70,90,60
541,440,Happiny,Normal,220,100,5,5,15,65,30
542,441,Chatot,Normal  Flying,411,76,65,45,92,42,91
543,442,Spiritomb,Ghost  Dark,485,50,92,108,92,108,35
544,443,Gible,Dragon  Ground,300,58,70,45,40,45,42
545,444,Gabite,Dragon  Ground,410,68,90,65,50,55,82
546,445,Garchomp,Dragon  Ground,600,108,130,95,80,85,102
547,445,Garchomp  Mega Garchomp,Dragon  Ground,700,108,170,115,120,95,92
548,446,Munchlax,Normal,390,135,85,40,40,85,5
549,447,Riolu,Fighting,285,40,70,40,35,40,60
550,448,Lucario,Fighting  Steel,525,70,110,70,115,70,90
551,448,Lucario  Mega Lucario,Fighting  Steel,625,70,145,88,140,70,112
552,449,Hippopotas,Ground,330,68,72,78,38,42,32
553,450,Hippowdon,Ground,525,108,112,118,68,72,47
554,451,Skorupi,Poison  Bug,330,40,50,90,30,55,65
555,452,Drapion,Poison  Dark,500,70,90,110,60,75,95
556,453,Croagunk,Poison  Fighting,300,48,61,40,61,40,50
557,454,Toxicroak,Poison  Fighting,490,83,106,65,86,65,85
558,455,Carnivine,Grass,454,74,100,72,90,72,46
559,456,Finneon,Water,330,49,49,56,49,61,66
560,457,Lumineon,Water,460,69,69,76,69,86,91
561,458,Mantyke,Water  Flying,345,45,20,50,60,120,50
562,459,Snover,Grass  Ice,334,60,62,50,62,60,40
563,460,Abomasnow,Grass  Ice,494,90,92,75,92,85,60
564,460,Abomasnow  Mega Abomasnow,Grass  Ice,594,90,132,105,132,105,30
565,461,Weavile,Dark  Ice,510,70,120,65,45,85,125
566,462,Magnezone,Electric  Steel,535,70,70,115,130,90,60
567,463,Lickilicky,Normal,515,110,85,95,80,95,50
568,464,Rhyperior,Ground  Rock,535,115,140,130,55,55,40
569,465,Tangrowth,Grass,535,100,100,125,110,50,50
570,466,Electivire,Electric,540,75,123,67,95,85,95
571,467,Magmortar,Fire,540,75,95,67,125,95,83
572,468,Togekiss,Fairy  Flying,545,85,50,95,120,115,80
573,469,Yanmega,Bug  Flying,515,86,76,86,116,56,95
574,470,Leafeon,Grass,525,65,110,130,60,65,95
575,471,Glaceon,Ice,525,65,60,110,130,95,65
576,472,Gliscor,Ground  Flying,510,75,95,125,45,75,95
577,473,Mamoswine,Ice  Ground,530,110,130,80,70,60,80
578,474,Porygon-Z,Normal,535,85,80,70,135,75,90
579,475,Gallade,Psychic  Fighting,518,68,125,65,65,115,80
580,475,Gallade  Mega Gallade,Psychic  Fighting,618,68,165,95,65,115,110
581,476,Probopass,Rock  Steel,525,60,55,145,75,150,40
582,477,Dusknoir,Ghost,525,45,100,135,65,135,45
583,478,Froslass,Ice  Ghost,480,70,80,70,80,70,110
584,479,Rotom,Electric  Ghost,440,50,50,77,95,77,91
585,479,Rotom  Heat Rotom,Electric  Fire,520,50,65,107,105,107,86
586,479,Rotom  Wash Rotom,Electric  Water,520,50,65,107,105,107,86
587,479,Rotom  Frost Rotom,Electric  Ice,520,50,65,107,105,107,86
588,479,Rotom  Fan Rotom,Electric  Flying,520,50,65,107,105,107,86
589,479,Rotom  Mow Rotom,Electric  Grass,520,50,65,107,105,107,86
590,480,Uxie,Psychic,580,75,75,130,75,130,95
591,481,Mesprit,Psychic,580,80,105,105,105,105,80
592,482,Azelf,Psychic,580,75,125,70,125,70,115
593,483,Dialga,Steel  Dragon,680,100,120,120,150,100,90
594,483,Dialga  Origin Forme,Steel  Dragon,680,100,100,120,150,120,90
595,484,Palkia,Water  Dragon,680,90,120,100,150,120,100
596,484,Palkia  Origin Forme,Water  Dragon,680,90,100,100,150,120,120
597,485,Heatran,Fire  Steel,600,91,90,106,130,106,77
598,486,Regigigas,Normal,670,110,160,110,80,110,100
599,487,Giratina  Altered Forme,Ghost  Dragon,680,150,100,120,100,120,90
600,487,Giratina  Origin Forme,Ghost  Dragon,680,150,120,100,120,100,90
601,488,Cresselia,Psychic,580,120,70,110,75,120,85
602,489,Phione,Water,480,80,80,80,80,80,80
603,490,Manaphy,Water,600,100,100,100,100,100,100
604,491,Darkrai,Dark,600,70,90,90,135,90,125
605,492,Shaymin  Land Forme,Grass,600,100,100,100,100,100,100
606,492,Shaymin  Sky Forme,Grass  Flying,600,100,103,75,120,75,127
607,493,Arceus,Normal,720,120,120,120,120,120,120
608,494,Victini,Psychic  Fire,600,100,100,100,100,100,100
609,495,Snivy,Grass,308,45,45,55,45,55,63
610,496,Servine,Grass,413,60,60,75,60,75,83
611,497,Serperior,Grass,528,75,75,95,75,95,113
612,498,Tepig,Fire,308,65,63,45,45,45,45
613,499,Pignite,Fire  Fighting,418,90,93,55,70,55,55
614,500,Emboar,Fire  Fighting,528,110,123,65,100,65,65
615,501,Oshawott,Water,308,55,55,45,63,45,45
616,502,Dewott,Water,413,75,75,60,83,60,60
617,503,Samurott,Water,528,95,100,85,108,70,70
618,503,Samurott  Hisuian Samurott,Water  Dark,528,90,108,80,100,65,85
619,504,Patrat,Normal,255,45,55,39,35,39,42
620,505,Watchog,Normal,420,60,85,69,60,69,77
621,506,Lillipup,Normal,275,45,60,45,25,45,55
622,507,Herdier,Normal,370,65,80,65,35,65,60
623,508,Stoutland,Normal,500,85,110,90,45,90,80
624,509,Purrloin,Dark,281,41,50,37,50,37,66
625,510,Liepard,Dark,446,64,88,50,88,50,106
626,511,Pansage,Grass,316,50,53,48,53,48,64
627,512,Simisage,Grass,498,75,98,63,98,63,101
628,513,Pansear,Fire,316,50,53,48,53,48,64
629,514,Simisear,Fire,498,75,98,63,98,63,101
630,515,Panpour,Water,316,50,53,48,53,48,64
631,516,Simipour,Water,498,75,98,63,98,63,101
632,517,Munna,Psychic,292,76,25,45,67,55,24
633,518,Musharna,Psychic,487,116,55,85,107,95,29
634,519,Pidove,Normal  Flying,264,50,55,50,36,30,43
635,520,Tranquill,Normal  Flying,358,62,77,62,50,42,65
636,521,Unfezant,Normal  Flying,488,80,115,80,65,55,93
637,522,Blitzle,Electric,295,45,60,32,50,32,76
638,523,Zebstrika,Electric,497,75,100,63,80,63,116
639,524,Roggenrola,Rock,280,55,75,85,25,25,15
640,525,Boldore,Rock,390,70,105,105,50,40,20
641,526,Gigalith,Rock,515,85,135,130,60,80,25
642,527,Woobat,Psychic  Flying,323,65,45,43,55,43,72
643,528,Swoobat,Psychic  Flying,425,67,57,55,77,55,114
644,529,Drilbur,Ground,328,60,85,40,30,45,68
645,530,Excadrill,Ground  Steel,508,110,135,60,50,65,88
646,531,Audino,Normal,445,103,60,86,60,86,50
647,531,Audino  Mega Audino,Normal  Fairy,545,103,60,126,80,126,50
648,532,Timburr,Fighting,305,75,80,55,25,35,35
649,533,Gurdurr,Fighting,405,85,105,85,40,50,40
650,534,Conkeldurr,Fighting,505,105,140,95,55,65,45
651,535,Tympole,Water,294,50,50,40,50,40,64
652,536,Palpitoad,Water  Ground,384,75,65,55,65,55,69
653,537,Seismitoad,Water  Ground,509,105,95,75,85,75,74
654,538,Throh,Fighting,465,120,100,85,30,85,45
655,539,Sawk,Fighting,465,75,125,75,30,75,85
656,540,Sewaddle,Bug  Grass,310,45,53,70,40,60,42
657,541,Swadloon,Bug  Grass,380,55,63,90,50,80,42
658,542,Leavanny,Bug  Grass,500,75,103,80,70,80,92
659,543,Venipede,Bug  Poison,260,30,45,59,30,39,57
660,544,Whirlipede,Bug  Poison,360,40,55,99,40,79,47
661,545,Scolipede,Bug  Poison,485,60,100,89,55,69,112
662,546,Cottonee,Grass  Fairy,280,40,27,60,37,50,66
663,547,Whimsicott,Grass  Fairy,480,60,67,85,77,75,116
664,548,Petilil,Grass,280,45,35,50,70,50,30
665,549,Lilligant,Grass,480,70,60,75,110,75,90
666,549,Lilligant  Hisuian Lilligant,Grass  Fighting,480,70,105,75,50,75,105
667,550,Basculin  Red-Striped Form,Water,460,70,92,65,80,55,98
668,550,Basculin  Blue-Striped Form,Water,460,70,92,65,80,55,98
669,550,Basculin  White-Striped Form,Water,460,70,92,65,80,55,98
670,551,Sandile,Ground  Dark,292,50,72,35,35,35,65
671,552,Krokorok,Ground  Dark,351,60,82,45,45,45,74
672,553,Krookodile,Ground  Dark,519,95,117,80,65,70,92
673,554,Darumaka,Fire,315,70,90,45,15,45,50
674,554,Darumaka  Galarian Darumaka,Ice,315,70,90,45,15,45,50
675,555,Darmanitan  Standard Mode,Fire,480,105,140,55,30,55,95
676,555,Darmanitan  Zen Mode,Fire  Psychic,540,105,30,105,140,105,55
677,555,Darmanitan  Galarian Standard Mode,Ice,480,105,140,55,30,55,95
678,555,Darmanitan  Galarian Zen Mode,Ice  Fire,540,105,160,55,30,55,135
679,556,Maractus,Grass,461,75,86,67,106,67,60
680,557,Dwebble,Bug  Rock,325,50,65,85,35,35,55
681,558,Crustle,Bug  Rock,485,70,105,125,65,75,45
682,559,Scraggy,Dark  Fighting,348,50,75,70,35,70,48
683,560,Scrafty,Dark  Fighting,488,65,90,115,45,115,58
684,561,Sigilyph,Psychic  Flying,490,72,58,80,103,80,97
685,562,Yamask,Ghost,303,38,30,85,55,65,30
686,562,Yamask  Galarian Yamask,Ground  Ghost,303,38,55,85,30,65,30
687,563,Cofagrigus,Ghost,483,58,50,145,95,105,30
688,564,Tirtouga,Water  Rock,355,54,78,103,53,45,22
689,565,Carracosta,Water  Rock,495,74,108,133,83,65,32
690,566,Archen,Rock  Flying,401,55,112,45,74,45,70
691,567,Archeops,Rock  Flying,567,75,140,65,112,65,110
692,568,Trubbish,Poison,329,50,50,62,40,62,65
693,569,Garbodor,Poison,474,80,95,82,60,82,75
694,570,Zorua,Dark,330,40,65,40,80,40,65
695,570,Zorua  Hisuian Zorua,Normal  Ghost,330,35,60,40,85,40,70
696,571,Zoroark,Dark,510,60,105,60,120,60,105
697,571,Zoroark  Hisuian Zoroark,Normal  Ghost,510,55,100,60,125,60,110
698,572,Minccino,Normal,300,55,50,40,40,40,75
699,573,Cinccino,Normal,470,75,95,60,65,60,115
700,574,Gothita,Psychic,290,45,30,50,55,65,45
701,575,Gothorita,Psychic,390,60,45,70,75,85,55
702,576,Gothitelle,Psychic,490,70,55,95,95,110,65
703,577,Solosis,Psychic,290,45,30,40,105,50,20
704,578,Duosion,Psychic,370,65,40,50,125,60,30
705,579,Reuniclus,Psychic,490,110,65,75,125,85,30
706,580,Ducklett,Water  Flying,305,62,44,50,44,50,55
707,581,Swanna,Water  Flying,473,75,87,63,87,63,98
708,582,Vanillite,Ice,305,36,50,50,65,60,44
709,583,Vanillish,Ice,395,51,65,65,80,75,59
710,584,Vanilluxe,Ice,535,71,95,85,110,95,79
711,585,Deerling,Normal  Grass,335,60,60,50,40,50,75
712,586,Sawsbuck,Normal  Grass,475,80,100,70,60,70,95
713,587,Emolga,Electric  Flying,428,55,75,60,75,60,103
714,588,Karrablast,Bug,315,50,75,45,40,45,60
715,589,Escavalier,Bug  Steel,495,70,135,105,60,105,20
716,590,Foongus,Grass  Poison,294,69,55,45,55,55,15
717,591,Amoonguss,Grass  Poison,464,114,85,70,85,80,30
718,592,Frillish,Water  Ghost,335,55,40,50,65,85,40
719,593,Jellicent,Water  Ghost,480,100,60,70,85,105,60
720,594,Alomomola,Water,470,165,75,80,40,45,65
721,595,Joltik,Bug  Electric,319,50,47,50,57,50,65
722,596,Galvantula,Bug  Electric,472,70,77,60,97,60,108
723,597,Ferroseed,Grass  Steel,305,44,50,91,24,86,10
724,598,Ferrothorn,Grass  Steel,489,74,94,131,54,116,20
725,599,Klink,Steel,300,40,55,70,45,60,30
726,600,Klang,Steel,440,60,80,95,70,85,50
727,601,Klinklang,Steel,520,60,100,115,70,85,90
728,602,Tynamo,Electric,275,35,55,40,45,40,60
729,603,Eelektrik,Electric,405,65,85,70,75,70,40
730,604,Eelektross,Electric,515,85,115,80,105,80,50
731,605,Elgyem,Psychic,335,55,55,55,85,55,30
732,606,Beheeyem,Psychic,485,75,75,75,125,95,40
733,607,Litwick,Ghost  Fire,275,50,30,55,65,55,20
734,608,Lampent,Ghost  Fire,370,60,40,60,95,60,55
735,609,Chandelure,Ghost  Fire,520,60,55,90,145,90,80
736,610,Axew,Dragon,320,46,87,60,30,40,57
737,611,Fraxure,Dragon,410,66,117,70,40,50,67
738,612,Haxorus,Dragon,540,76,147,90,60,70,97
739,613,Cubchoo,Ice,305,55,70,40,60,40,40
740,614,Beartic,Ice,505,95,130,80,70,80,50
741,615,Cryogonal,Ice,515,80,50,50,95,135,105
742,616,Shelmet,Bug,305,50,40,85,40,65,25
743,617,Accelgor,Bug,495,80,70,40,100,60,145
744,618,Stunfisk,Ground  Electric,471,109,66,84,81,99,32
745,618,Stunfisk  Galarian Stunfisk,Ground  Steel,471,109,81,99,66,84,32
746,619,Mienfoo,Fighting,350,45,85,50,55,50,65
747,620,Mienshao,Fighting,510,65,125,60,95,60,105
748,621,Druddigon,Dragon,485,77,120,90,60,90,48
749,622,Golett,Ground  Ghost,303,59,74,50,35,50,35
750,623,Golurk,Ground  Ghost,483,89,124,80,55,80,55
751,624,Pawniard,Dark  Steel,340,45,85,70,40,40,60
752,625,Bisharp,Dark  Steel,490,65,125,100,60,70,70
753,626,Bouffalant,Normal,490,95,110,95,40,95,55
754,627,Rufflet,Normal  Flying,350,70,83,50,37,50,60
755,628,Braviary,Normal  Flying,510,100,123,75,57,75,80
756,628,Braviary  Hisuian Braviary,Psychic  Flying,510,110,83,70,112,70,65
757,629,Vullaby,Dark  Flying,370,70,55,75,45,65,60
758,630,Mandibuzz,Dark  Flying,510,110,65,105,55,95,80
759,631,Heatmor,Fire,484,85,97,66,105,66,65
760,632,Durant,Bug  Steel,484,58,109,112,48,48,109
761,633,Deino,Dark  Dragon,300,52,65,50,45,50,38
762,634,Zweilous,Dark  Dragon,420,72,85,70,65,70,58
763,635,Hydreigon,Dark  Dragon,600,92,105,90,125,90,98
764,636,Larvesta,Bug  Fire,360,55,85,55,50,55,60
765,637,Volcarona,Bug  Fire,550,85,60,65,135,105,100
766,638,Cobalion,Steel  Fighting,580,91,90,129,90,72,108
767,639,Terrakion,Rock  Fighting,580,91,129,90,72,90,108
768,640,Virizion,Grass  Fighting,580,91,90,72,90,129,108
769,641,Tornadus  Incarnate Forme,Flying,580,79,115,70,125,80,111
770,641,Tornadus  Therian Forme,Flying,580,79,100,80,110,90,121
771,642,Thundurus  Incarnate Forme,Electric  Flying,580,79,115,70,125,80,111
772,642,Thundurus  Therian Forme,Electric  Flying,580,79,105,70,145,80,101
773,643,Reshiram,Dragon  Fire,680,100,120,100,150,120,90
774,644,Zekrom,Dragon  Electric,680,100,150,120,120,100,90
775,645,Landorus  Incarnate Forme,Ground  Flying,600,89,125,90,115,80,101
776,645,Landorus  Therian Forme,Ground  Flying,600,89,145,90,105,80,91
777,646,Kyurem,Dragon  Ice,660,125,130,90,130,90,95
778,646,Kyurem  White Kyurem,Dragon  Ice,700,125,120,90,170,100,95
779,646,Kyurem  Black Kyurem,Dragon  Ice,700,125,170,100,120,90,95
780,647,Keldeo  Ordinary Form,Water  Fighting,580,91,72,90,129,90,108
781,647,Keldeo  Resolute Form,Water  Fighting,580,91,72,90,129,90,108
782,648,Meloetta  Aria Forme,Normal  Psychic,600,100,77,77,128,128,90
783,648,Meloetta  Pirouette Forme,Normal  Fighting,600,100,128,90,77,77,128
784,649,Genesect,Bug  Steel,600,71,120,95,120,95,99
785,650,Chespin,Grass,313,56,61,65,48,45,38
786,651,Quilladin,Grass,405,61,78,95,56,58,57
787,652,Chesnaught,Grass  Fighting,530,88,107,122,74,75,64
788,653,Fennekin,Fire,307,40,45,40,62,60,60
789,654,Braixen,Fire,409,59,59,58,90,70,73
790,655,Delphox,Fire  Psychic,534,75,69,72,114,100,104
791,656,Froakie,Water,314,41,56,40,62,44,71
792,657,Frogadier,Water,405,54,63,52,83,56,97
793,658,Greninja,Water  Dark,530,72,95,67,103,71,122
794,658,Greninja  Ash-Greninja,Water  Dark,640,72,145,67,153,71,132
795,659,Bunnelby,Normal,237,38,36,38,32,36,57
796,660,Diggersby,Normal  Ground,423,85,56,77,50,77,78
797,661,Fletchling,Normal  Flying,278,45,50,43,40,38,62
798,662,Fletchinder,Fire  Flying,382,62,73,55,56,52,84
799,663,Talonflame,Fire  Flying,499,78,81,71,74,69,126
800,664,Scatterbug,Bug,200,38,35,40,27,25,35
801,665,Spewpa,Bug,213,45,22,60,27,30,29
802,666,Vivillon,Bug  Flying,411,80,52,50,90,50,89
803,667,Litleo,Fire  Normal,369,62,50,58,73,54,72
804,668,Pyroar,Fire  Normal,507,86,68,72,109,66,106
805,669,Flabébé,Fairy,303,44,38,39,61,79,42
806,670,Floette,Fairy,371,54,45,47,75,98,52
807,671,Florges,Fairy,552,78,65,68,112,154,75
808,672,Skiddo,Grass,350,66,65,48,62,57,52
809,673,Gogoat,Grass,531,123,100,62,97,81,68
810,674,Pancham,Fighting,348,67,82,62,46,48,43
811,675,Pangoro,Fighting  Dark,495,95,124,78,69,71,58
812,676,Furfrou,Normal,472,75,80,60,65,90,102
813,677,Espurr,Psychic,355,62,48,54,63,60,68
814,678,Meowstic  Male,Psychic,466,74,48,76,83,81,104
815,678,Meowstic  Female,Psychic,466,74,48,76,83,81,104
816,679,Honedge,Steel  Ghost,325,45,80,100,35,37,28
817,680,Doublade,Steel  Ghost,448,59,110,150,45,49,35
818,681,Aegislash  Shield Forme,Steel  Ghost,500,60,50,140,50,140,60
819,681,Aegislash  Blade Forme,Steel  Ghost,500,60,140,50,140,50,60
820,682,Spritzee,Fairy,341,78,52,60,63,65,23
821,683,Aromatisse,Fairy,462,101,72,72,99,89,29
822,684,Swirlix,Fairy,341,62,48,66,59,57,49
823,685,Slurpuff,Fairy,480,82,80,86,85,75,72
824,686,Inkay,Dark  Psychic,288,53,54,53,37,46,45
825,687,Malamar,Dark  Psychic,482,86,92,88,68,75,73
826,687,Malamar  Mega Malamar,Dark  Psychic,582,86,102,88,98,120,88
827,688,Binacle,Rock  Water,306,42,52,67,39,56,50
828,689,Barbaracle,Rock  Water,500,72,105,115,54,86,68
829,690,Skrelp,Poison  Water,320,50,60,60,60,60,30
830,691,Dragalge,Poison  Dragon,494,65,75,90,97,123,44
831,692,Clauncher,Water,330,50,53,62,58,63,44
832,693,Clawitzer,Water,500,71,73,88,120,89,59
833,694,Helioptile,Electric  Normal,289,44,38,33,61,43,70
834,695,Heliolisk,Electric  Normal,481,62,55,52,109,94,109
835,696,Tyrunt,Rock  Dragon,362,58,89,77,45,45,48
836,697,Tyrantrum,Rock  Dragon,521,82,121,119,69,59,71
837,698,Amaura,Rock  Ice,362,77,59,50,67,63,46
838,699,Aurorus,Rock  Ice,521,123,77,72,99,92,58
839,700,Sylveon,Fairy,525,95,65,65,110,130,60
840,701,Hawlucha,Fighting  Flying,500,78,92,75,74,63,118
841,701,Hawlucha  Mega Hawlucha,Fighting  Flying,600,78,137,100,74,93,118
842,702,Dedenne,Electric  Fairy,431,67,58,57,81,67,101
843,703,Carbink,Rock  Fairy,500,50,50,150,50,150,50
844,704,Goomy,Dragon,300,45,50,35,55,75,40
845,705,Sliggoo,Dragon,452,68,75,53,83,113,60
846,705,Sliggoo  Hisuian Sliggoo,Steel  Dragon,452,58,75,83,83,113,40
847,706,Goodra,Dragon,600,90,100,70,110,150,80
848,706,Goodra  Hisuian Goodra,Steel  Dragon,600,80,100,100,110,150,60
849,707,Klefki,Steel  Fairy,470,57,80,91,80,87,75
850,708,Phantump,Ghost  Grass,309,43,70,48,50,60,38
851,709,Trevenant,Ghost  Grass,474,85,110,76,65,82,56
852,710,Pumpkaboo  Average Size,Ghost  Grass,335,49,66,70,44,55,51
853,710,Pumpkaboo  Small Size,Ghost  Grass,335,44,66,70,44,55,56
854,710,Pumpkaboo  Large Size,Ghost  Grass,335,54,66,70,44,55,46
855,710,Pumpkaboo  Super Size,Ghost  Grass,335,59,66,70,44,55,41
856,711,Gourgeist  Average Size,Ghost  Grass,494,65,90,122,58,75,84
857,711,Gourgeist  Small Size,Ghost  Grass,494,55,85,122,58,75,99
858,711,Gourgeist  Large Size,Ghost  Grass,494,75,95,122,58,75,69
859,711,Gourgeist  Super Size,Ghost  Grass,494,85,100,122,58,75,54
860,712,Bergmite,Ice,304,55,69,85,32,35,28
861,713,Avalugg,Ice,514,95,117,184,44,46,28
862,713,Avalugg  Hisuian Avalugg,Ice  Rock,514,95,127,184,34,36,38
863,714,Noibat,Flying  Dragon,245,40,30,35,45,40,55
864,715,Noivern,Flying  Dragon,535,85,70,80,97,80,123
865,716,Xerneas,Fairy,680,126,131,95,131,98,99
866,717,Yveltal,Dark  Flying,680,126,131,95,131,98,99
867,718,Zygarde  50% Forme,Dragon  Ground,600,108,100,121,81,95,95
868,718,Zygarde  10% Forme,Dragon  Ground,486,54,100,71,61,85,115
869,718,Zygarde  Complete Forme,Dragon  Ground,708,216,100,121,91,95,85
870,719,Diancie,Rock  Fairy,600,50,100,150,100,150,50
871,719,Diancie  Mega Diancie,Rock  Fairy,700,50,160,110,160,110,110
872,720,Hoopa  Hoopa Confined,Psychic  Ghost,600,80,110,60,150,130,70
873,720,Hoopa  Hoopa Unbound,Psychic  Dark,680,80,160,60,170,130,80
874,721,Volcanion,Fire  Water,600,80,110,120,130,90,70
875,722,Rowlet,Grass  Flying,320,68,55,55,50,50,42
876,723,Dartrix,Grass  Flying,420,78,75,75,70,70,52
